,EQUIPMENT_DESC,Count
297,TANK_SS_STOR_SANTIZING_1,27
298,TOWER_SUGAR_24,26
299,LINE2 CHILLER,26
300,L2 INTELITEK - M2 ELEVATOR 90 EXIT,26
301,PUMP_DIA_CO2_CYLINDER_2,26
302,WATER_RO_UF_SKID_GE,25
303,L2 SONIC AIR KNIFE - WEST,25
304,L2 SIDEL CAP FEEDER,25
305,LINE4 CHILLER,25
306,L3 SONIC AIR KNIFE - EAST,24
307,COMP_RECIP_NH3_#5,22
308,CODER-LINE 1 FULL CAN EAST,22
309,DEPAL_ELECPNEU_SHELL,22
310,COMP_RECIP_NH3_#3,22
311,L1 CODER RIVERWOOD (SOUTH),21
312,L2 CODER TRINE - WEST,21
313,COMP_RECIP_NH3_#4,21
314,L10 DEPALLETIZER,20
315,L3 LABEL_PRINTER_SPOT_APPLICATOR_PAL_252,20
316,L10 PALITIZER_T-TEK_EAST,20
317,BOILR_FRTB_CIP_1,20
318,FULL CAN CONVEYOR (FC41A),20
319,MAX_O2_ANALYZER_MAX_BEV_01,20
320,L3 CONV_MT_FULL_BTL_L3FBC1300,19
321,MAINTENANCE FABRICATION SHOP,19
322,COMP_RECIP_NH3_#2,19
323,L3 CHILLER,19
324,L04 PALLET LABEL APPLICATOR,19
325,CONV_AIR_CAP_EMPTY_BTL,19
326,COMP_RECIP_NH3_#6,18
327,L4 BLOWER_BOTTLE DRYER_PAXTON,18
328,L3 CONV_MT_FULL_BTL_L3FBC1200,18
329,L10 PACKR_CASE_MEAD_1250M,18
330,L3 NITROGEN INJECTOR,18
331,PUMP_CENT_SANIT_HOT_CIP,18
332,"SPILL KITS - DIESIL, SULFIRIC,GENERAL",18
333,MIXER_CC,18
334,TANK_SS_STOR_SYRUP_1,18
335,MIXER_FLOMIX_PROPORTIONER,17
336,L2 WULFTEC WRAPPER,17
337,MIXER_DSI_CSD__BLENZER_ 200_CL1,17
338,CONV_AIR_LABELER_RINSER,17
339,STORMWATER DRAINS,16
340,L3 FILLER CIP SYSTEM,16
341,BOILR_FRTB_CIP_4,16
342,"APS - M1, FILLER DISCHARGE",16
343,L9 CONV_TT_BTL_FULL,16
344,L1 LABEL_PRINTER_SPOT_APPLICATOR_PALLET_,16
345,SANIT_CIP_SYS_SYRUP_ROOM,16
346,CODER-LINE 3 TRINE/WEST,16
347,L2 INTELITEK - M14 WASHER DISCH 180 TURN,16
348,L3 SIDEL CAP FEEDER,16
349,L2 TANK_SS_STOR_SURGE,16
350,L1 CODER_INKJET_LEIBINGER_JET_PRO_CAN #2,15
351,CODER-LINE 3 TRINE/EAST,15
352,CONV_RLLR_L1FC210,15
353,CODER-LINE 1 FULL CAN WEST,15
354,CONV_RLLR_SWTCH_UPSIDE_DOWN,15
355,CODER_INKJET_DOMINO,15
356,WATER_SYS_RO_WESTERN_UF,15
